"fechaobservacion","valorobservado","nombreestacion","codigoestacion","latitud","longitud","unidadmedida"
"2012-10-11T11:00:00.000","4.512","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T12:00:00.000","4.419","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T13:00:00.000","4.725","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T14:00:00.000","5.098","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T15:00:00.000","5.418","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T16:00:00.000","5.45","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T17:00:00.000","5.099","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T18:00:00.000","4.812","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T19:00:00.000","4.738","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T20:00:00.000","4.684","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T21:00:00.000","4.582","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T22:00:00.000","4.804","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T23:00:00.000","4.822","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T00:00:00.000","4.608","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T01:00:00.000","4.734","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T02:00:00.000","4.529","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T03:00:00.000","4.368","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T04:00:00.000","4.096","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T05:00:00.000","4.399","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T06:00:00.000","4.371","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T07:00:00.000","4.533","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T08:00:00.000","4.603","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T09:00:00.000","5.04","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T10:00:00.000","4.879","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T11:00:00.000","5.033","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T12:00:00.000","5.404","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T13:00:00.000","5.115","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T14:00:00.000","5.297","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T15:00:00.000","5.382","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T16:00:00.000","5.234","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T17:00:00.000","5.395","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T18:00:00.000","5.252","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T19:00:00.000","5.233","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T20:00:00.000","5.325","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T21:00:00.000","5.222","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T22:00:00.000","5.229","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-12T23:00:00.000","5.298","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T00:00:00.000","5.33","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T01:00:00.000","5.463","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T02:00:00.000","5.105","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T03:00:00.000","5.114","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T04:00:00.000","4.905","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T05:00:00.000","4.904","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T06:00:00.000","5.187","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T07:00:00.000","4.792","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T08:00:00.000","4.824","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T09:00:00.000","4.893","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T10:00:00.000","5.372","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T11:00:00.000","5.356","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T12:00:00.000","5.426","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T13:00:00.000","5.562","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T14:00:00.000","5.991","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T15:00:00.000","5.835","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T16:00:00.000","5.7","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T17:00:00.000","5.736","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T18:00:00.000","5.795","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T19:00:00.000","5.671","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T20:00:00.000","5.914","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T21:00:00.000","5.584","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T22:00:00.000","5.566","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-13T23:00:00.000","5.547","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T00:00:00.000","5.431","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T01:00:00.000","5.549","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T02:00:00.000","5.788","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T03:00:00.000","5.679","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T04:00:00.000","5.685","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T05:00:00.000","5.772","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T06:00:00.000","5.703","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T07:00:00.000","5.706","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T08:00:00.000","5.677","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T09:00:00.000","5.818","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T10:00:00.000","5.705","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T11:00:00.000","5.736","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T12:00:00.000","5.777","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-14T13:00:00.000","5.522","TESORO INVEMAR","0014017001","10.235","-75.741","m"
