"fecha_inicio","fecha_final","departamento","municipio","tipo_tecnologia","gm","dm","cm","id_empresa","empresa","ano_repor","cod_periodo"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","19","809","1","1514.43","193.42","125.38","26717","EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.","2023","1"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","19","809","1","1335.69","154.31","106.51","28111","EMPRESA DE SERVICIOS PUBLICOS DE ENERGIA ELECTRICA DEL CAUCA","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","19","809","1","1385.06","171.1","108.4","28111","EMPRESA DE SERVICIOS PUBLICOS DE ENERGIA ELECTRICA DEL CAUCA","2023","2"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","19","809","1","1500.43","194.21","127.61","26717","EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","19","809","1","1509.67","196.55","129.73","26717","EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.","2023","3"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","19","809","1","1386.88","173.38","110.2","28111","EMPRESA DE SERVICIOS PUBLICOS DE ENERGIA ELECTRICA DEL CAUCA","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","19","809","1","1307.0","149.47","111.36","28111","EMPRESA DE SERVICIOS PUBLICOS DE ENERGIA ELECTRICA DEL CAUCA","2023","4"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","19","809","1","1501.57","194.12","131.09","26717","EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","19","809","1","1505.82","190.24","132.12","26717","EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.","2023","5"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","19","809","1","1323.95","150.33","112.23","28111","EMPRESA DE SERVICIOS PUBLICOS DE ENERGIA ELECTRICA DEL CAUCA","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","19","809","1","1503.17","187.06","132.69","26717","EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.","2023","6"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","19","809","1","1320.67","146.01","112.72","28111","EMPRESA DE SERVICIOS PUBLICOS DE ENERGIA ELECTRICA DEL CAUCA","2023","6"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","27","1","1","1472.65","176.04","118.23","1930","EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VIGIA DEL FUERTE","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","27","1","1","1474.94","179.35","120.33","1930","EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VIGIA DEL FUERTE","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","27","1","1","1479.01","181.63","122.33","1930","EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VIGIA DEL FUERTE","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","27","1","1","1486.9","181.4","123.61","1930","EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VIGIA DEL FUERTE","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","27","1","1","1480.69","179.46","124.58","1930","EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VIGIA DEL FUERTE","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","27","1","1","1489.36","177.66","125.12","1930","EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VIGIA DEL FUERTE","2023","6"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","27","6","1","1223.3285","33.2248","50.3757","1895","EMPRESA DE SERVICOS PUBLICOS DE ACANDI S.A E.S.P.","2023","1"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","27","6","1","1078.47","96.8","42.45","2080","JUNTA ADMINISTRADORA DE SERVICIOS PÚBLICOS  DE  CAPURGANA","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","27","6","1","1091.52","98.22","43.21","2080","JUNTA ADMINISTRADORA DE SERVICIOS PÚBLICOS  DE  CAPURGANA","2023","2"
